year,game_pk,game_date,game_datetime,status_code,status_description,home_team_id,home_team_name,away_team_id,away_team_name,venue_id,venue_name,game_type,season,season_display,home_score,away_score,winning_team_id,losing_team_id
2015,415224,2015-08-02,2015-08-02T17:35:00Z,F,Final,111,Boston Red Sox,139,Tampa Bay Rays,3,Fenway Park,R,2015,2015,3.0,4.0,139.0,111.0
2015,415227,2015-08-03,2015-08-04T02:05:00Z,F,Final,133,Oakland Athletics,110,Baltimore Orioles,10,O.co Coliseum,R,2015,2015,2.0,9.0,110.0,133.0
2015,415234,2015-08-03,2015-08-04T00:40:00Z,F,Final,115,Colorado Rockies,136,Seattle Mariners,19,Coors Field,R,2015,2015,7.0,8.0,136.0,115.0
2015,415212,2015-08-02,2015-08-02T18:10:00Z,F,Final,117,Houston Astros,109,Arizona Diamondbacks,2392,Minute Maid Park,R,2015,2015,4.0,1.0,117.0,109.0
2015,415222,2015-08-02,2015-08-02T18:10:00Z,F,Final,142,Minnesota Twins,136,Seattle Mariners,3312,Target Field,R,2015,2015,1.0,4.0,136.0,142.0
2015,415219,2015-08-02,2015-08-02T18:10:00Z,F,Final,145,Chicago White Sox,147,New York Yankees,4,U.S. Cellular Field,R,2015,2015,3.0,12.0,147.0,145.0
2015,415214,2015-08-02,2015-08-02T18:10:00Z,F,Final,158,Milwaukee Brewers,112,Chicago Cubs,32,Miller Park,R,2015,2015,3.0,4.0,112.0,158.0
2015,415216,2015-08-02,2015-08-02T18:15:00Z,F,Final,138,St. Louis Cardinals,115,Colorado Rockies,2889,Busch Stadium,R,2015,2015,3.0,2.0,138.0,115.0
2015,415223,2015-08-02,2015-08-02T19:05:00Z,F,Final,140,Texas Rangers,137,San Francisco Giants,13,Globe Life Park in Arlington,R,2015,2015,2.0,1.0,140.0,137.0
2015,415215,2015-08-02,2015-08-02T20:05:00Z,F,Final,133,Oakland Athletics,114,Cleveland Indians,10,O.co Coliseum,R,2015,2015,2.0,1.0,133.0,114.0
2015,415229,2015-08-03,2015-08-04T02:05:00Z,F,Final,108,Los Angeles Angels,114,Cleveland Indians,1,Angel Stadium of Anaheim,R,2015,2015,5.0,4.0,108.0,114.0
